id,season,city,date,team1,Pplay T1,pplay twick1,team2,Pplay T2,pplay twick2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,Avg 1st Innings Score,Avg 2nd Innings Score,umpire1,umpire2,umpire3,Pitch Type
1,2017,Hyderabad,2017-04-05,Sunrisers Hyderabad,59,1,Royal Challengers Bangalore,54,1,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",185,175,AY Dandekar,NJ Llong,,Batting
2,2017,Pune,2017-04-06,Mumbai Indians,61,1,Rising Pune Supergiant,59,1,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,7,SPD Smith,Maharashtra Cricket Association Stadium,160,148,A Nand Kishore,S Ravi,,Batting & Spinner Friendly
3,2017,Rajkot,2017-04-07,Gujarat Lions,52,1,Kolkata Knight Riders,73,0,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,10,CA Lynn,Saurashtra Cricket Association Stadium,183,170,Nitin Menon,CK Nandan,,Batting
4,2017,Indore,2017-04-08,Rising Pune Supergiant,35,1,Kings XI Punjab,56,2,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,GJ Maxwell,Holkar Cricket Stadium,160,158,AK Chaudhary,C Shamshuddin,,Batting
5,2017,Bangalore,2017-04-08,Royal Challengers Bangalore,41,2,Delhi Daredevils,43,2,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,15,0,KM Jadhav,M Chinnaswamy Stadium,170,150,,,,Batting
6,2017,Hyderabad,2017-04-09,Gujarat Lions,40,2,Sunrisers Hyderabad,59,1,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",185,175,A Deshmukh,NJ Llong,,Batting
7,2017,Mumbai,2017-04-09,Kolkata Knight Riders,59,2,Mumbai Indians,49,0,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,N Rana,Wankhede Stadium,194,182,Nitin Menon,CK Nandan,,Both
8,2017,Indore,2017-04-10,Royal Challengers Bangalore,23,3,Kings XI Punjab,62,1,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,8,AR Patel,Holkar Cricket Stadium,160,158,AK Chaudhary,C Shamshuddin,,Batting
9,2017,Pune,2017-04-11,Delhi Daredevils,62,1,Rising Pune Supergiant,50,3,Rising Pune Supergiant,field,normal,0,Delhi Daredevils,97,0,SV Samson,Maharashtra Cricket Association Stadium,160,148,AY Dandekar,S Ravi,,Batting & Spinner Friendly
10,2017,Mumbai,2017-04-12,Sunrisers Hyderabad,34,0,Mumbai Indians,61,2,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,JJ Bumrah,Wankhede Stadium,194,182,Nitin Menon,CK Nandan,,Both
11,2017,Kolkata,2017-04-13,Kings XI Punjab,57,1,Kolkata Knight Riders,76,1,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,SP Narine,Eden Gardens,143,126,A Deshmukh,NJ Llong,,Batting
12,2017,Bangalore,2017-04-14,Royal Challengers Bangalore,41,0,Mumbai Indians,21,4,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,KA Pollard,M Chinnaswamy Stadium,170,150,KN Ananthapadmanabhan,AK Chaudhary,,Batting
13,2017,Rajkot,2017-04-14,Rising Pune Supergiant,64,2,Gujarat Lions,61,0,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,AJ Tye,Saurashtra Cricket Association Stadium,183,170,A Nand Kishore,S Ravi,,Batting
14,2017,Kolkata,2017-04-15,Kolkata Knight Riders,40,2,Sunrisers Hyderabad,45,0,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,17,0,RV Uthappa,Eden Gardens,143,126,AY Dandekar,NJ Llong,,Batting
15,2017,Delhi,2017-04-15,Delhi Daredevils,49,0,Kings XI Punjab,40,3,Delhi Daredevils,bat,normal,0,Delhi Daredevils,51,0,CJ Anderson,Feroz Shah Kotla,156,145,YC Barde,Nitin Menon,,Both
